a,b,c,d,e
1,05-05-2019,Hauisamong Running 2019    ,"ปราจีนบุรี					","half-marathon/mini-marathon/funrun					"
2,05-05-2019,RUN เพลิน เพลิน ปี 2    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
3,05-05-2019,Run for Dek Doi 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
4,05-05-2019,RUN for KING    ,"กรุงเทพมหานครฯ					","mini-marathon					"
5,11-05-2019,ภูมิซรอลวิทยา มินิมาราธอน 2019    ,"ศรีสะเกษ					","mini-marathon/funrun					"
6,11-05-2019,หนองเจ็ดเส้น ไนท์รัน 2019    ,"อ่างทอง					","mini-marathon/funrun					"
7,11-05-2019,CentralFestival Bikini Beach Race 2019    ,"ชลบุรี					","					"
8,11-05-2019,FITT WALK ปีที่ 3    ,"กรุงเทพมหานครฯ					","					"
9,11-05-2019,SeaSide Night Run: Fashion Colourful 2019    ,"เพชรบุรี					","9					"
10,11-05-2019,Takola RUN ตะโกลารัน 2019    ,"พังงา					","12/5/3					"
11,11-05-2019,Wapi 70 Mini Marathon 2019    ,"มหาสารคาม					","10.4/4.2					"
12,12-05-2019,หมอภูเก็ตชวนวิ่ง - Series 3    ,"ภูเก็ต					","15/7					"
13,12-05-2019,"หัวหินมาราธอน 2019    									 										 									 									 										 									 								 ","ประจวบคีรีขันธ์					","5/10/21/42					"
14,12-05-2019,วิ่งการกุศล เรารักหล่อยูง 2019    ,"พังงา					","mini-marathon/funrun					"
15,12-05-2019,วิ่งชมวัง2019    ,"เพชรบุรี					","mini-marathon/funrun					"
16,12-05-2019,วิ่งเพื่อน้อง Run For Child ครั้งที่ 2    ,"สมุทรสงคราม					","mini-marathon/funrun					"
17,12-05-2019,"ลำพยนต์เทรล 2019    									 										 									 									 										 									 								 ","นครสวรรค์					","5/10/21.1					"
18,12-05-2019,ล่นม๊อกม่วน จวนขึ้นดอยคำ 2019    ,"เชียงใหม่					","mini-marathon/funrun					"
19,12-05-2019,บางละมุง anti-drugs coco run 2019    ,"ชลบุรี					","21/10.5/5					"
20,12-05-2019,พระธาตุขิงแกง มินิมาราธอน 2019    ,"พะเยา					","9.5/3.5					"
21,12-05-2019,โรตารีสระบุรี เดิน-วิ่งการกุศล มินิมาราธอน 2019    ,"สระบุรี					","mini-marathon/funrun					"
22,12-05-2019,เดิน-วิ่ง โรงพยาบาลสุโขทัย มินิมาราธอน ครั้งที่1    ,"สุโขทัย					","mini-marathon/funrun					"
23,12-05-2019,เดิน-วิ่งรามาธิบดี 54 ปี เพื่อสถาบันการแพทย์จักรีนฤบดินทร์ 2019 (เลื่อน)   ,"กรุงเทพมหานครฯ					","					"
24,12-05-2019,เดิน-วิ่งการกุศล สโมสรโรตารีสวนจิตรลดา 2019    ,"ชลบุรี					","mini-marathon/funrun					"
25,12-05-2019,AED Run 2019 ก้าวนี้ เพื่อต่อลมหายใจ    ,"นนทบุรี					","10/6					"
26,12-05-2019,AGRO SUPER RUN 2019    ,"สงขลา					","11.1/4.2					"
27,12-05-2019,APM CNX Run 2019    ,"เชียงใหม่					","10.5/4.5					"
28,12-05-2019,Bangkok Airways KRABI Half Marathon 2019    ,"กระบี่					","21/mini-marathon/funrun					"
29,12-05-2019,Give and Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
30,12-05-2019,Huaylan Trail 2019    ,"เชียงใหม่					","					"
31,12-05-2019,Huaylan Trail 2019    ,"เชียงใหม่					","					"
32,12-05-2019,Khon Kaen Sports School Mini-half Marathon 2nd 2019    ,"ขอนแก่น					","21/11/6					"
33,12-05-2019,Ned 2019 Mini Marathon Salaya ครั้งที่ 2    ,"นครปฐม					","10.5/5/3					"
34,12-05-2019,Run 4 Dams Half Marathon Series 2019 : สนาม1    ,"ลพบุรี					","21/mini-marathon/funrun					"
35,12-05-2019,Run Fast Stop Stroke 2019    ,"ระยอง					","mini-marathon/funrun					"
36,12-05-2019,"Run For ""ฟัน"" 2019    ","ขอนแก่น					","11/3.85					"
37,12-05-2019,Run for Nurse 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
38,12-05-2019,Run for the church 2019    ,"จันทบุรี					","mini-marathon/funrun					"
39,12-05-2019,Run Fun Fund 2019 วิ่งสนุก ..ปลูกปัญญา    ,"นครปฐม					","100/5/3					"
40,12-05-2019,Saard Mini Marathon 2019    ,"ชุมพร					","mini-marathon/funrun					"
41,12-05-2019,Udonthani Half Marathon 2019    ,"อุดรธานี					","					"
42,12-05-2019,Ultraman RUN 2019    ,"ชลบุรี					","16/12/6/3					"
43,18-05-2019,วิ่งวิสาขบูชาพัทลุง 2562    ,"พัทลุง					","3					"
44,18-05-2019,เดิน-วิ่งสมาธิ วิสาขพุทธบูชา ครั้งที่ 18    ,"เชียงใหม่					","4.5					"
45,18-05-2019,Sattahip sundown run 2019    ,"ชลบุรี					","21/mini-marathon/funrun					"
46,19-05-2019,ภูผาม่าน ฮาล์ฟ มาราธอน 2019    ,"ขอนแก่น					","21/10/4					"
47,19-05-2019,มหาวชิราวุธ เดิน-วิ่งการกุศล 2563    ,"สงขลา					","10.5/4					"
48,19-05-2019,"วิ่งรอบกว๊านพะเยา 2019    									 										 									 									 										 									 								 ","พะเยา					","10/26					"
49,19-05-2019,วิ่งเพื่อบ้านปลอดบุหรี่ 2019    ,"ตรัง					","7					"
50,19-05-2019,สุภาพบุรุษออมสิน 36 ชวนวิ่ง 2019    ,"ระยอง					","mini-marathon/funrun					"
51,19-05-2019,สจว. มินิมาราธอน 2562 (ครั้งที่ 2)   ชิงถ้วยพระราชทาน สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี   ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
52,19-05-2019,สามัคคีมินิมาราธอน 2019 “วิ่งได้บุญ หนุนการศึกษา” 2019    ,"ราชบุรี					","11.3/4.3					"
53,19-05-2019,ผู้ว่า พาเสือวิ่ง มินิมาราธอน 2019    ,"ร้อยเอ็ด					","mini-marathon/funrun					"
54,19-05-2019,"บ้านมุง เนินมะปราง มาราธอน 2019    									 										 									 									 										 									 								 ","พิษณุโลก					","42/21/mini-marathon/funrun					"
55,19-05-2019,พิชิตเนินพิศวง เขาอีโต้ Mini Marathon 2019    ,"ปราจีนบุรี					","14/5/3					"
56,19-05-2019,เดิน-วิ่ง วันวิสา ภูเก็ต 2019    ,"ภูเก็ต					","6/3					"
57,19-05-2019,เดิน-วิ่ง เอ็กซ์เอ็มบีเอ ธรรมศาสตร์     ,"กรุงเทพมหานครฯ					","10/4					"
